Month,R1,R2,R3,R4,R5,R6,R7
1,310,552,259,450,123,1215,641
2,520,85,42,74,194,183,50
3,515,828,342,943,1862,1521,862
4,202,343,157,264,754,727,407
5,2769,9981,3858,10510,8342,4496,4627
6,350,584,261,4694,1939,94,94
7,237,458,198,5110,955,967,4007
8,519,96,47,844,230,230,121
9,32,39,225,569,197,140,70
10,1140,1935,906,1607,4782,4746,3187
11,740,1260,550,919,2845,2389,981
12,807,25,61,834,237,317,1067
